Product ID,Category,Sub-Category,Product Name
TEC-PH-1,Technology,Phones,Samsung Convoy 3
FUR-CH-2,Furniture,Chairs,"Novimex Executive Leather Armchair, Black"
TEC-PH-3,Technology,Phones,"Nokia Smart Phone, with Caller ID"
TEC-PH-4,Technology,Phones,"Motorola Smart Phone, Cordless"
TEC-CO-5,Technology,Copiers,"Sharp Wireless Fax, High-Speed"
TEC-PH-6,Technology,Phones,"Samsung Smart Phone, with Caller ID"
FUR-CH-7,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable"
FUR-TA-8,Furniture,Tables,"Chromcraft Conference Table, Fully Assembled"
FUR-BO-9,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish"
FUR-CH-10,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo"
OFF-AR-11,Office Supplies,Art,Newell 330
FUR-TA-12,Furniture,Tables,"Bevis Conference Table, Fully Assembled"
TEC-PH-13,Technology,Phones,"Cisco Smart Phone, with Caller ID"
FUR-CH-14,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable"
OFF-AP-15,Office Supplies,Appliances,"KitchenAid Microwave, White"
OFF-AP-16,Office Supplies,Appliances,"Breville Refrigerator, Red"
OFF-ST-17,Office Supplies,Storage,Akro Stacking Bins
OFF-AP-18,Office Supplies,Appliances,"Hoover Stove, Red"
TEC-CO-19,Technology,Copiers,"Brother Fax Machine, High-Speed"
OFF-AP-20,Office Supplies,Appliances,"KitchenAid Stove, White"
FUR-TA-21,Furniture,Tables,"Hon Computer Table, with Bottom Storage"
OFF-ST-22,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit"
FUR-CH-23,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black"
OFF-AP-24,Office Supplies,Appliances,"KitchenAid Refrigerator, Black"
TEC-PH-25,Technology,Phones,"Motorola Smart Phone, Full Size"
FUR-TA-26,Furniture,Tables,"Hon Computer Table, Fully Assembled"
FUR-TA-27,Furniture,Tables,"Lesro Conference Table, with Bottom Storage"
OFF-AP-28,Office Supplies,Appliances,"Hoover Stove, Red"
OFF-FA-29,Office Supplies,Fasteners,Staples
FUR-CH-30,Furniture,Chairs,"Office Star Executive Leather Armchair, Red"
TEC-PH-31,Technology,Phones,"Samsung Smart Phone, VoIP"
TEC-MA-32,Technology,Machines,"Okidata Inkjet, Wireless"
TEC-PH-33,Technology,Phones,Geemarc AmpliPOWER60
OFF-AP-34,Office Supplies,Appliances,"Breville Stove, Red"
OFF-ST-35,Office Supplies,Storage,Fellowes Super Stor/Drawer Files
TEC-PH-36,Technology,Phones,"Apple Smart Phone, Full Size"
FUR-CH-37,Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h"
TEC-AC-38,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack"
TEC-CO-39,Technology,Copiers,"Brother Fax Machine, Laser"
TEC-PH-40,Technology,Phones,"Nokia Smart Phone, with Caller ID"
TEC-PH-41,Technology,Phones,"Motorola Smart Phone, Full Size"
TEC-PH-42,Technology,Phones,"Motorola Smart Phone, with Caller ID"
FUR-BO-43,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional"
TEC-PH-44,Technology,Phones,"Motorola Smart Phone, Cordless"
OFF-AP-45,Office Supplies,Appliances,"Cuisinart Stove, Silver"
FUR-FU-46,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Ebony"
FUR-CH-47,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable"
FUR-CH-48,Furniture,Chairs,"Novimex Executive Leather Armchair, Red"
TEC-MA-49,Technology,Machines,"Konica Inkjet, White"
FUR-CH-50,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black"
OFF-BI-51,Office Supplies,Binders,GBC VeloBind Cover Sets
TEC-CO-52,Technology,Copiers,"Canon Copy Machine, Color"
OFF-LA-53,Office Supplies,Labels,Avery 51
FUR-BO-54,Furniture,Bookcases,"Safco Classic Bookcase, Pine"
TEC-PH-55,Technology,Phones,"Motorola Smart Phone, with Caller ID"
TEC-CO-56,Technology,Copiers,"Hewlett Wireless Fax, Color"
OFF-BI-57,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1"""
FUR-TA-58,Furniture,Tables,"Chromcraft Conference Table, with Bottom Storage"
OFF-AP-59,Office Supplies,Appliances,"Breville Refrigerator, White"
OFF-PA-60,Office Supplies,Paper,EcoTones Memo Sheets
FUR-BO-61,Furniture,Bookcases,"Safco Classic Bookcase, Metal"
OFF-AR-62,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set
TEC-PH-63,Technology,Phones,"Samsung Smart Phone, Cordless"
TEC-PH-64,Technology,Phones,"Apple Audio Dock, with Caller ID"
FUR-CH-65,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black"
TEC-MA-66,Technology,Machines,Cisco CP-7937G Unified IP Conference Station Phone
FUR-BO-67,Furniture,Bookcases,"Safco Classic Bookcase, Metal"
FUR-TA-68,Furniture,Tables,"Chromcraft Wood Table, Rectangular"
TEC-PH-69,Technology,Phones,"Samsung Smart Phone, Cordless"
FUR-TA-70,Furniture,Tables,"Chromcraft Round Table, Rectangular"
FUR-CH-71,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable"
OFF-AP-72,Office Supplies,Appliances,"Hamilton Beach Microwave, Black"
FUR-CH-73,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable"
FUR-TA-74,Furniture,Tables,"Bevis Conference Table, with Bottom Storage"
TEC-PH-75,Technology,Phones,"Nokia Smart Phone, Full Size"
TEC-PH-76,Technology,Phones,"Apple Smart Phone, Cordless"
TEC-MA-77,Technology,Machines,Bady BDG101FRU Card Printer
TEC-CO-78,Technology,Copiers,"Brother Ink, Color"
TEC-CO-79,Technology,Copiers,"Sharp Wireless Fax, Digital"
FUR-CH-80,Furniture,Chairs,"Novimex Executive Leather Armchair, Red"
FUR-CH-81,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable"
TEC-CO-82,Technology,Copiers,"Canon Wireless Fax, Laser"
FUR-BO-83,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
OFF-BI-84,Office Supplies,Binders,"Avery Trapezoid Extra Heavy Duty 4"" Binders"
TEC-PH-85,Technology,Phones,"Motorola Smart Phone, Full Size"
OFF-AP-86,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Black"
OFF-AP-87,Office Supplies,Appliances,"Hoover Stove, White"
TEC-CO-88,Technology,Copiers,"Brother Wireless Fax, Laser"
FUR-BO-89,Furniture,Bookcases,"Ikea Classic Bookcase, Mobile"
TEC-CO-90,Technology,Copiers,"Canon Copy Machine, Color"
TEC-PH-91,Technology,Phones,"Nokia Smart Phone, with Caller ID"
FUR-TA-92,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table"
OFF-AP-93,Office Supplies,Appliances,"Hamilton Beach Stove, White"
OFF-BI-94,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems
FUR-CH-95,Furniture,Chairs,"Office Star Executive Leather Armchair, Red"
FUR-TA-96,Furniture,Tables,"Bevis Conference Table, with Bottom Storage"
FUR-BO-97,Furniture,Bookcases,"Ikea Classic Bookcase, Mobile"
FUR-CH-98,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black"
TEC-MA-99,Technology,Machines,"Panasonic Printer, Red"
OFF-AP-100,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Silver"
TEC-PH-101,Technology,Phones,"Motorola Smart Phone, Full Size"
TEC-PH-102,Technology,Phones,"Cisco Smart Phone, Full Size"
TEC-PH-103,Technology,Phones,"Samsung Smart Phone, Full Size"
TEC-PH-104,Technology,Phones,"Samsung Smart Phone, Cordless"
TEC-CO-105,Technology,Copiers,"Sharp Fax Machine, High-Speed"
TEC-PH-106,Technology,Phones,"Cisco Smart Phone, with Caller ID"
OFF-PA-107,Office Supplies,Paper,Xerox 1956
FUR-BO-108,Furniture,Bookcases,"Dania Classic Bookcase, Pine"
OFF-AP-109,Office Supplies,Appliances,"Breville Refrigerator, Red"
FUR-CH-110,Furniture,Chairs,"Office Star Executive Leather Armchair, Black"
OFF-ST-111,Office Supplies,Storage,Hanging Personal Folder File
TEC-PH-112,Technology,Phones,"Apple Smart Phone, with Caller ID"
FUR-BO-113,Furniture,Bookcases,"Sauder Classic Bookcase, Metal"
TEC-CO-114,Technology,Copiers,"Sharp Wireless Fax, Laser"
OFF-AP-115,Office Supplies,Appliances,"Hoover Refrigerator, White"
OFF-PA-116,Office Supplies,Paper,Xerox 1998
TEC-CO-117,Technology,Copiers,"Hewlett Wireless Fax, Laser"
OFF-BI-118,Office Supplies,Binders,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack"
FUR-CH-119,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black"
FUR-BO-120,Furniture,Bookcases,"Bush Library with Doors, Metal"
TEC-CO-121,Technology,Copiers,"HP Wireless Fax, Digital"
FUR-TA-122,Furniture,Tables,Hon 5100 Series Wood Tables
OFF-BI-123,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System
TEC-CO-124,Technology,Copiers,"Canon Wireless Fax, High-Speed"
TEC-CO-125,Technology,Copiers,"Sharp Fax Machine, Digital"
TEC-PH-126,Technology,Phones,"Cisco Smart Phone, Full Size"
FUR-CH-127,Furniture,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs
OFF-AP-128,Office Supplies,Appliances,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue"
TEC-AC-129,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive
TEC-CO-130,Technology,Copiers,"Brother Copy Machine, Color"
TEC-CO-131,Technology,Copiers,"Hewlett Fax Machine, High-Speed"
TEC-AC-132,Technology,Accessories,"Belkin Router, USB"
FUR-BO-133,Furniture,Bookcases,"Safco Classic Bookcase, Mobile"
TEC-PH-134,Technology,Phones,"Motorola Smart Phone, Full Size"
OFF-PA-135,Office Supplies,Paper,Strathmore Photo Mount Cards
FUR-BO-136,Furniture,Bookcases,"Safco Library with Doors, Pine"
OFF-AP-137,Office Supplies,Appliances,"Hoover Refrigerator, Red"
TEC-MA-138,Technology,Machines,"StarTech Printer, Wireless"
OFF-FA-139,Office Supplies,Fasteners,Staples
OFF-PA-140,Office Supplies,Paper,Xerox 1881
TEC-AC-141,Technology,Accessories,"Memorex Router, Bluetooth"
TEC-CO-142,Technology,Copiers,"Hewlett Wireless Fax, Color"
TEC-PH-143,Technology,Phones,"Samsung Smart Phone, Cordless"
OFF-PA-144,Office Supplies,Paper,Xerox 1881
OFF-AP-145,Office Supplies,Appliances,"KitchenAid Refrigerator, Black"
TEC-PH-146,Technology,Phones,"Apple Smart Phone, with Caller ID"
TEC-CO-147,Technology,Copiers,"Brother Fax Machine, High-Speed"
TEC-AC-148,Technology,Accessories,Logitech G600 MMO Gaming Mouse
FUR-BO-149,Furniture,Bookcases,"Safco Classic Bookcase, Traditional"
TEC-AC-150,Technology,Accessories,"Belkin Router, Erganomic"
OFF-AP-151,Office Supplies,Appliances,"Hoover Stove, White"
FUR-BO-152,Furniture,Bookcases,"Bush Classic Bookcase, Metal"
TEC-CO-153,Technology,Copiers,"HP Wireless Fax, Color"
FUR-FU-154,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock"
TEC-PH-155,Technology,Phones,"Motorola Smart Phone, Full Size"
TEC-PH-156,Technology,Phones,"Cisco Smart Phone, Full Size"
OFF-BI-157,Office Supplies,Binders,Ibico Covers for Plastic or Wire Binding Elements
FUR-TA-158,Furniture,Tables,"Lesro Round Table, Rectangular"
OFF-SU-159,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles
OFF-AP-160,Office Supplies,Appliances,"Hoover Stove, White"
OFF-AP-161,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Red"
OFF-AP-162,Office Supplies,Appliances,"Hamilton Beach Stove, Silver"
TEC-PH-163,Technology,Phones,"Cisco Smart Phone, Full Size"
FUR-TA-164,Furniture,Tables,"Lesro Round Table, with Bottom Storage"
OFF-AP-165,Office Supplies,Appliances,"Hoover Stove, White"
OFF-PA-166,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book"
FUR-BO-167,Furniture,Bookcases,"Safco Library with Doors, Pine"
FUR-CH-168,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Red"
TEC-PH-169,Technology,Phones,"Cisco Smart Phone, Cordless"
TEC-PH-170,Technology,Phones,"Samsung Smart Phone, Full Size"
FUR-BO-171,Furniture,Bookcases,"Bush Library with Doors, Metal"
OFF-BI-172,Office Supplies,Binders,Acco Hanging Data Binders
TEC-PH-173,Technology,Phones,"Samsung Smart Phone, Full Size"
TEC-AC-174,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub
FUR-TA-175,Furniture,Tables,"Bevis Conference Table, Fully Assembled"
FUR-BO-176,Furniture,Bookcases,"Bush Library with Doors, Metal"
TEC-PH-177,Technology,Phones,"Nokia Smart Phone, Full Size"
FUR-CH-178,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable"
TEC-AC-179,Technology,Accessories,"Enermax Router, Bluetooth"
OFF-PA-180,Office Supplies,Paper,Xerox 231
OFF-AP-181,Office Supplies,Appliances,"Hoover Refrigerator, White"
TEC-MA-182,Technology,Machines,"Epson Printer, Durable"
FUR-TA-183,Furniture,Tables,"Hon Computer Table, Adjustable Height"
OFF-PA-184,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled"
OFF-AP-185,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Red"
TEC-PH-186,Technology,Phones,"Apple Smart Phone, Full Size"
FUR-TA-187,Furniture,Tables,"Lesro Computer Table, Adjustable Height"
OFF-AP-188,Office Supplies,Appliances,"Breville Refrigerator, White"
FUR-TA-189,Furniture,Tables,"Lesro Wood Table, Fully Assembled"
TEC-PH-190,Technology,Phones,"Nokia Smart Phone, Cordless"
FUR-TA-191,Furniture,Tables,"Hon Training Table, Fully Assembled"
FUR-CH-192,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable"
FUR-TA-193,Furniture,Tables,"Barricks Conference Table, Fully Assembled"
FUR-TA-194,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D"
OFF-AP-195,Office Supplies,Appliances,"Breville Refrigerator, Black"
FUR-FU-196,Furniture,Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting
OFF-AP-197,Office Supplies,Appliances,"Breville Stove, White"
FUR-TA-198,Furniture,Tables,KI Adjustable-Height Table
OFF-AP-199,Office Supplies,Appliances,"KitchenAid Stove, Silver"
OFF-ST-200,Office Supplies,Storage,"Smead Lockers, Wire Frame"
TEC-CO-201,Technology,Copiers,"Sharp Copy Machine, High-Speed"
OFF-AP-202,Office Supplies,Appliances,"Hamilton Beach Stove, White"
OFF-BI-203,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine
OFF-AP-204,Office Supplies,Appliances,"Breville Stove, Silver"
OFF-ST-205,Office Supplies,Storage,"Smead Lockers, Industrial"
FUR-BO-206,Furniture,Bookcases,"Safco Classic Bookcase, Metal"
OFF-SU-207,Office Supplies,Supplies,Premier Electric Letter Opener
FUR-FU-208,Furniture,Furnishings,"Howard Miller 12"" Round Wall Clock"
TEC-PH-209,Technology,Phones,"Samsung Smart Phone, Cordless"
TEC-AC-210,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive
TEC-CO-211,Technology,Copiers,"Brother Wireless Fax, Color"
OFF-AP-212,Office Supplies,Appliances,"Hamilton Beach Stove, Silver"
OFF-ST-213,Office Supplies,Storage,"Fellowes File Cart, Blue"
TEC-MA-214,Technology,Machines,"Epson Receipt Printer, Red"
OFF-ST-215,Office Supplies,Storage,"Fellowes Lockers, Blue"
TEC-PH-216,Technology,Phones,"Samsung Smart Phone, VoIP"
FUR-BO-217,Furniture,Bookcases,"Dania Library with Doors, Pine"
FUR-BO-218,Furniture,Bookcases,"Ikea Library with Doors, Pine"
FUR-BO-219,Furniture,Bookcases,"Bush Library with Doors, Mobile"
TEC-PH-220,Technology,Phones,"Nokia Smart Phone, with Caller ID"
FUR-BO-221,Furniture,Bookcases,"Sauder Classic Bookcase, Pine"
FUR-FU-222,Furniture,Furnishings,"Eldon 400 Class Desk Accessories, Black Carbon"
TEC-CO-223,Technology,Copiers,"Brother Wireless Fax, Laser"
TEC-PH-224,Technology,Phones,"Cisco Smart Phone, Full Size"
TEC-PH-225,Technology,Phones,"Motorola Smart Phone, with Caller ID"
TEC-PH-226,Technology,Phones,"Nokia Smart Phone, with Caller ID"
FUR-CH-227,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black"
OFF-AP-228,Office Supplies,Appliances,"Breville Microwave, Red"
FUR-CH-229,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable"
FUR-BO-230,Furniture,Bookcases,"Safco Classic Bookcase, Metal"
FUR-CH-231,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable"
OFF-SU-232,Office Supplies,Supplies,Compact Automatic Electric Letter Opener
FUR-CH-233,Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat
OFF-AP-234,Office Supplies,Appliances,"Hoover Microwave, Silver"
TEC-PH-235,Technology,Phones,"Nokia Smart Phone, Full Size"
OFF-AP-236,Office Supplies,Appliances,"KitchenAid Refrigerator, Silver"
OFF-PA-237,Office Supplies,Paper,"Wirebound Message Book, 4 per Page"
OFF-AP-238,Office Supplies,Appliances,"Hoover Stove, Red"
OFF-PA-239,Office Supplies,Paper,Xerox 214
OFF-FA-240,Office Supplies,Fasteners,OIC Binder Clips
OFF-PA-241,Office Supplies,Paper,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”"
FUR-TA-242,Furniture,Tables,"Barricks Wood Table, Rectangular"
FUR-BO-243,Furniture,Bookcases,"Sauder Library with Doors, Mobile"
FUR-BO-244,Furniture,Bookcases,"Bush Classic Bookcase, Pine"
TEC-MA-245,Technology,Machines,"Konica Inkjet, White"
FUR-TA-246,Furniture,Tables,"Barricks Conference Table, Rectangular"
TEC-CO-247,Technology,Copiers,"Hewlett Wireless Fax, Laser"
OFF-AR-248,Office Supplies,Art,Newell 347
TEC-PH-249,Technology,Phones,"Apple Smart Phone, with Caller ID"
FUR-BO-250,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional"
TEC-CO-251,Technology,Copiers,"Sharp Wireless Fax, Digital"
OFF-AP-252,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum
TEC-PH-253,Technology,Phones,"Nokia Smart Phone, Cordless"
FUR-TA-254,Furniture,Tables,"Hon Conference Table, Adjustable Height"
FUR-TA-255,Furniture,Tables,"Lesro Round Table, with Bottom Storage"
FUR-CH-256,Furniture,Chairs,"SAFCO Executive Leather Armchair, Set of Two"
OFF-AP-257,Office Supplies,Appliances,"Hamilton Beach Stove, Black"
OFF-LA-258,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal
OFF-AR-259,Office Supplies,Art,"OIC #2 Pencils, Medium Soft"
OFF-BI-260,Office Supplies,Binders,Avery Metallic Poly Binders
OFF-AP-261,Office Supplies,Appliances,"Hamilton Beach Stove, Silver"
TEC-PH-262,Technology,Phones,"Nokia Smart Phone, Cordless"
TEC-PH-263,Technology,Phones,"Apple Smart Phone, Full Size"
TEC-MA-264,Technology,Machines,"Konica Printer, Wireless"
FUR-BO-265,Furniture,Bookcases,"Bush Classic Bookcase, Traditional"
TEC-PH-266,Technology,Phones,"Cisco Smart Phone, with Caller ID"
OFF-AP-267,Office Supplies,Appliances,"KitchenAid Stove, Black"
FUR-CH-268,Furniture,Chairs,"Harbour Creations Rocking Chair, Adjustable"
FUR-BO-269,Furniture,Bookcases,"Ikea Classic Bookcase, Metal"
