returned,Order ID,region,Customer ID,Product ID
Yes,ORD-1,Central US,CUS-AB-CON-1,TEC-PH-1
Yes,ORD-2,Eastern Asia,CUS-JR-COR-2,FUR-CH-2
Yes,ORD-3,Central US,CUS-CR-CON-3,TEC-PH-3
Yes,ORD-4,Oceania,CUS-KM-HOM-4,TEC-PH-4
Yes,ORD-5,Oceania,CUS-RH-CON-5,TEC-CO-5
Yes,ORD-6,Eastern Asia,CUS-JM-COR-6,TEC-PH-6
Yes,ORD-7,Western Europe,CUS-TS-CON-7,FUR-CH-7
Yes,ORD-8,Central US,CUS-MB-CON-8,FUR-TA-8
Yes,ORD-9,Southern Europe,CUS-AB-CON-9,FUR-BO-9
Yes,ORD-10,Eastern Asia,CUS-AB-CON-10,FUR-CH-10
Yes,ORD-11,Oceania,CUS-AB-CON-11,OFF-AR-11
Yes,ORD-12,Western Europe,CUS-AJ-COR-12,FUR-TA-12
Yes,ORD-13,Western Asia,CUS-MM-CON-13,TEC-PH-13
Yes,ORD-14,Oceania,CUS-VF-HOM-14,FUR-CH-14
Yes,ORD-15,Southern US,CUS-PF-CON-15,OFF-AP-15
Yes,ORD-16,Southern Africa,CUS-BP-COR-16,OFF-AP-16
Yes,ORD-17,Eastern Asia,CUS-AB-CON-17,OFF-ST-17
Yes,ORD-18,Western Europe,CUS-PJ-COR-18,OFF-AP-18
Yes,ORD-19,Western Europe,CUS-JS-COR-19,TEC-CO-19
Yes,ORD-20,Eastern Asia,CUS-RH-CON-20,OFF-AP-20
Yes,ORD-21,Oceania,CUS-AB-COR-21,FUR-TA-21
Yes,ORD-22,Eastern US,CUS-AB-CON-22,OFF-ST-22
Yes,ORD-23,Western Europe,CUS-JK-COR-23,FUR-CH-23
Yes,ORD-24,Southern Europe,CUS-LB-HOM-24,OFF-AP-24
Yes,ORD-25,Eastern Europe,CUS-NP-CON-25,TEC-PH-25
Yes,ORD-26,Southeastern Asia,CUS-VD-CON-26,FUR-TA-26
Yes,ORD-27,Eastern US,CUS-PB-COR-27,FUR-TA-27
Yes,ORD-28,Western US,CUS-EB-CON-28,OFF-AP-28
Yes,ORD-29,Southern Europe,CUS-AH-COR-29,OFF-FA-29
Yes,ORD-30,Western US,CUS-BP-CON-30,FUR-CH-30
Yes,ORD-31,Southern Asia,CUS-RR-COR-31,TEC-PH-31
Yes,ORD-32,Oceania,CUS-BS-COR-32,TEC-MA-32
Yes,ORD-33,Western Europe,CUS-AH-COR-33,TEC-PH-33
Yes,ORD-34,Western Europe,CUS-DP-COR-34,OFF-AP-34
Yes,ORD-35,Eastern US,CUS-AH-COR-35,OFF-ST-35
Yes,ORD-36,Northern Europe,CUS-AH-COR-36,TEC-PH-36
Yes,ORD-37,Southeastern Asia,CUS-AH-COR-37,FUR-CH-37
Yes,ORD-38,Western Asia,CUS-AH-COR-38,TEC-AC-38
Yes,ORD-39,Eastern Canada,CUS-PO-CON-39,TEC-CO-39
Yes,ORD-40,Oceania,CUS-DL-CON-40,TEC-PH-40
Yes,ORD-41,Central America,CUS-JB-CON-41,TEC-PH-41
Yes,ORD-42,Southeastern Asia,CUS-BF-HOM-42,TEC-PH-42
Yes,ORD-43,Southern Europe,CUS-VG-COR-43,FUR-BO-43
Yes,ORD-44,Eastern Asia,CUS-GT-CON-44,TEC-PH-44
Yes,ORD-45,Western US,CUS-ZC-CON-45,OFF-AP-45
Yes,ORD-46,Eastern Asia,CUS-AH-COR-46,FUR-FU-46
Yes,ORD-47,Central America,CUS-EB-COR-47,FUR-CH-47
Yes,ORD-48,Oceania,CUS-AP-CON-48,FUR-CH-48
Yes,ORD-49,South America,CUS-SW-CON-49,TEC-MA-49
Yes,ORD-50,Western Europe,CUS-JH-CON-50,FUR-CH-50
Yes,ORD-51,Eastern Asia,CUS-AH-COR-51,OFF-BI-51
Yes,ORD-52,Oceania,CUS-TG-CON-52,TEC-CO-52
Yes,ORD-53,Oceania,CUS-AH-COR-53,OFF-LA-53
Yes,ORD-54,Central America,CUS-PB-COR-54,FUR-BO-54
Yes,ORD-55,Oceania,CUS-DG-COR-55,TEC-PH-55
Yes,ORD-56,Oceania,CUS-SG-CON-56,TEC-CO-56
Yes,ORD-57,Central America,CUS-AH-COR-57,OFF-BI-57
Yes,ORD-58,Southern Europe,CUS-GP-COR-58,FUR-TA-58
Yes,ORD-59,Central America,CUS-MW-CON-59,OFF-AP-59
Yes,ORD-60,Western Europe,CUS-AH-COR-60,OFF-PA-60
Yes,ORD-61,Southeastern Asia,CUS-CS-CON-61,FUR-BO-61
Yes,ORD-62,Southern Asia,CUS-AH-COR-62,OFF-AR-62
Yes,ORD-63,Eastern Asia,CUS-MS-COR-63,TEC-PH-63
Yes,ORD-64,North Africa,CUS-KC-COR-64,TEC-PH-64
Yes,ORD-65,North Africa,CUS-DB-CON-65,FUR-CH-65
Yes,ORD-66,Western Europe,CUS-AS-COR-66,TEC-MA-66
Yes,ORD-67,Eastern Asia,CUS-DK-CON-67,FUR-BO-67
Yes,ORD-68,Southeastern Asia,CUS-CS-COR-68,FUR-TA-68
Yes,ORD-69,Southern Europe,CUS-EM-HOM-69,TEC-PH-69
Yes,ORD-70,Southeastern Asia,CUS-DW-HOM-70,FUR-TA-70
Yes,ORD-71,Eastern Asia,CUS-AS-COR-71,FUR-CH-71
Yes,ORD-72,Caribbean,CUS-ST-CON-72,OFF-AP-72
Yes,ORD-73,Central Africa,CUS-BW-CON-73,FUR-CH-73
Yes,ORD-74,Southern Europe,CUS-LA-COR-74,FUR-TA-74
Yes,ORD-75,Southern Asia,CUS-AB-CON-75,TEC-PH-75
Yes,ORD-76,Southeastern Asia,CUS-JH-CON-76,TEC-PH-76
Yes,ORD-77,South America,CUS-AS-COR-77,TEC-MA-77
Yes,ORD-78,Western Europe,CUS-BE-CON-78,TEC-CO-78
Yes,ORD-79,Eastern Asia,CUS-SZ-HOM-79,TEC-CO-79
Yes,ORD-80,Eastern US,CUS-RM-CON-80,FUR-CH-80
Yes,ORD-81,Western US,CUS-HG-CON-81,FUR-CH-81
Yes,ORD-82,Western Europe,CUS-DP-COR-82,TEC-CO-82
Yes,ORD-83,Southern Africa,CUS-AS-COR-83,FUR-BO-83
