row_id,order_id,order_date,Shipping_date,Shipping_mode,shipping_cost,order_priority
40098,CA-2014-AB10015140-41954,2014-11-11,2014-11-13,First Class,40.77,High
26341,IN-2014-JR162107-41675,2014-02-05,2014-02-07,Second Class,923.63,Critical
25330,IN-2014-CR127307-41929,2014-10-17,2014-10-18,First Class,915.49,Medium
13524,ES-2014-KM1637548-41667,2014-01-28,2014-01-30,First Class,910.16,Medium
47221,SG-2014-RH9495111-41948,2014-11-05,2014-11-06,Same Day,903.04,Critical
22732,IN-2014-JM156557-41818,2014-06-28,2014-07-01,Second Class,897.35,Critical
30570,IN-2012-TS2134092-41219,2012-11-06,2012-11-08,First Class,894.77,Critical
31192,IN-2013-MB1808592-41378,2013-04-14,2013-04-18,Standard Class,878.38,High
40099,CA-2014-AB10015140-41954,2014-11-11,2014-11-13,First Class,25.27,High
36258,CA-2012-AB10015140-40974,2012-03-06,2012-03-07,First Class,11.13,High
36259,CA-2012-AB10015140-40974,2012-03-06,2012-03-07,First Class,4.29,High
28879,ID-2013-AJ107801-41383,2013-04-19,2013-04-22,First Class,835.57,High
45794,SA-2012-MM7260110-41269,2012-12-26,2012-12-28,Second Class,832.41,Critical
4132,MX-2013-VF2171518-41591,2013-11-13,2013-11-13,Same Day,810.25,Critical
27704,IN-2014-PF1912027-41796,2014-06-06,2014-06-08,Second Class,804.54,Critical
13779,ES-2015-BP1118545-42216,2015-07-31,2015-08-03,Second Class,801.66,Critical
39519,CA-2012-AB10015140-40958,2012-02-19,2012-02-25,Standard Class,1.97,Low
12069,ES-2015-PJ1883564-42255,2015-09-08,2015-09-14,Standard Class,778.32,Low
22096,IN-2015-JS156857-42035,2015-01-31,2015-02-01,First Class,766.93,Critical
49463,TZ-2015-RH9555129-42343,2015-12-05,2015-12-07,Second Class,763.38,High
46630,PL-2013-AB600103-41494,2013-08-08,2013-08-10,First Class,759.47,Critical
36260,CA-2012-AB10015140-40974,2012-03-06,2012-03-07,First Class,1.28,High
21586,IN-2012-JK1532527-41030,2012-05-01,2012-05-02,First Class,752.47,Critical
13528,ES-2014-LB16795139-41697,2014-02-27,2014-03-01,Second Class,730.91,High
1570,US-2015-NP1832582-42216,2015-07-31,2015-08-01,First Class,728.968,Critical
3484,MX-2015-VD2167039-42252,2015-09-05,2015-09-08,First Class,728.389,Critical
30191,IN-2012-PB19210127-41259,2012-12-16,2012-12-19,First Class,725.57,Critical
11645,ES-2012-EB1411048-40981,2012-03-13,2012-03-16,Second Class,725.34,Critical
38460,CA-2012-AH10030140-41020,2012-04-21,2012-04-23,Second Class,55.2,Critical
22999,IN-2013-BP1123058-41329,2013-02-24,2013-02-24,Same Day,704.08,Critical
220,US-2012-RR1952536-41270,2012-12-27,2012-12-29,Second Class,704.056,Critical
10648,ES-2013-BS1136545-41472,2013-07-17,2013-07-19,First Class,699.55,Critical
40977,CA-2013-AH10030140-41635,2013-12-27,2013-12-31,Standard Class,45.74,Medium
21286,IN-2012-DP131057-41215,2012-11-02,2012-11-04,Second Class,689.8,Critical
40976,CA-2013-AH10030140-41635,2013-12-27,2013-12-31,Standard Class,26.7,Medium
47905,CG-2012-AH1003033-41165,2012-09-13,2012-09-14,First Class,678.15,High
36651,CA-2012-AH10030140-41041,2012-05-12,2012-05-18,Standard Class,11.69,Medium
40100,CA-2012-AH10030140-41273,2012-12-30,2012-12-31,First Class,8.22,High
15380,ES-2015-PO18865139-42018,2015-01-14,2015-01-18,Standard Class,668.96,High
28046,IN-2012-DL128657-40918,2012-01-10,2012-01-11,First Class,665.27,Medium
21316,ID-2014-JB1600059-41873,2014-08-22,2014-08-26,Standard Class,660.87,High
29272,IN-2015-BF1100558-42319,2015-11-11,2015-11-15,Standard Class,658.69,High
25795,IN-2015-VG2180558-42273,2015-09-26,2015-09-28,Second Class,658.35,Medium
16681,ES-2013-GT14710139-41621,2013-12-13,2013-12-17,Standard Class,656.73,High
15953,IT-2012-ZC2191048-41174,2012-09-22,2012-09-24,First Class,655.91,Critical
34608,CA-2014-AH10030140-41719,2014-03-21,2014-03-26,Second Class,5.73,Medium
13847,IT-2014-EB1384045-41706,2014-03-08,2014-03-08,Same Day,652.98,Critical
24341,IN-2015-AP1091527-42244,2015-08-28,2015-08-29,First Class,644.75,High
28701,IN-2015-SW2027558-42125,2015-05-01,2015-05-01,Same Day,637.86,Critical
6550,MX-2015-JH15820141-42356,2015-12-18,2015-12-20,Second Class,634.529,High
37425,US-2012-AH10030140-41206,2012-10-24,2012-10-27,First Class,2.84,High
48360,IR-2015-TG1164060-42265,2015-09-18,2015-09-21,First Class,630.97,Critical
40101,CA-2012-AH10030140-41273,2012-12-30,2012-12-31,First Class,1.3,High
30190,IN-2012-PB19210127-41259,2012-12-16,2012-12-19,First Class,627.27,Critical
42336,MZ-2014-DG330087-41991,2014-12-18,2014-12-18,Same Day,627.17,High
29047,IN-2013-SG2047058-41424,2013-05-30,2013-05-31,First Class,625.77,Critical
38461,CA-2012-AH10030140-41020,2012-04-21,2012-04-23,Second Class,1.2,Critical
29601,IN-2013-GP1474058-41419,2013-05-25,2013-05-28,Second Class,616.27,Critical
23499,IN-2015-MW182207-42221,2015-08-05,2015-08-06,First Class,614.34,High
36652,CA-2012-AH10030140-41041,2012-05-12,2012-05-18,Standard Class,1.15,Medium
26634,IN-2015-CS1246011-42074,2015-03-11,2015-03-13,Second Class,609.24,High
34496,CA-2015-AH10030140-42357,2015-12-19,2015-12-23,Standard Class,1.13,Medium
10522,ES-2015-MS1798048-42227,2015-08-11,2015-08-16,Second Class,604.4,Medium
10549,IT-2014-KC1667548-41882,2014-08-31,2014-09-03,First Class,600.21,Critical
25314,IN-2015-DB1340527-42022,2015-01-18,2015-01-23,Standard Class,595.5,High
32637,CA-2015-AS10045140-42007,2015-01-03,2015-01-05,First Class,160.19,High
16653,IT-2015-DK13090120-42345,2015-12-07,2015-12-08,First Class,593.91,High
28932,IN-2015-CS1184558-42354,2015-12-16,2015-12-19,First Class,592.77,Critical
8029,MX-2015-EM1420082-42328,2015-11-20,2015-11-20,Same Day,592.726,Critical
50411,UP-2012-DW3480137-41221,2012-11-08,2012-11-10,First Class,590.56,Critical
21191,IN-2014-AS1022527-41797,2014-06-07,2014-06-09,First Class,589.36,High
4960,MX-2012-ST2053093-41234,2012-11-21,2012-11-22,First Class,589.293,Medium
49085,CG-2014-BW106533-41727,2014-03-29,2014-03-31,Second Class,588.13,High
21209,IN-2015-LA1678059-42242,2015-08-26,2015-08-27,First Class,586.57,High
12161,ES-2013-AB10150139-41537,2013-09-20,2013-09-22,Second Class,585.25,High
25438,IN-2015-JH158207-42140,2015-05-16,2015-05-18,Second Class,581.88,Critical
33130,CA-2015-AS10045140-42218,2015-08-02,2015-08-08,Standard Class,103.62,Medium
16988,ES-2014-BE1141048-41967,2014-11-24,2014-11-25,First Class,580.98,Critical
24443,IN-2012-SZ2003527-41221,2012-11-08,2012-11-10,Second Class,576.71,Medium
30199,IN-2012-RM1937558-41209,2012-10-27,2012-10-27,Same Day,573.27,Critical
13879,ES-2015-HG1484545-42327,2015-11-19,2015-11-23,Standard Class,572.95,High
50788,MO-2015-DP310586-42305,2015-10-28,2015-10-30,Second Class,568.45,Medium
40834,CA-2014-AS10045140-41908,2014-09-26,2014-09-28,First Class,43.01,Critical
40425,US-2015-AS10045140-42252,2015-09-05,2015-09-06,First Class,23.88,High
18241,ES-2014-JB1600048-41668,2014-01-29,2014-02-05,Standard Class,564.25,Low
23013,ID-2013-AM1070559-41535,2013-09-18,2013-09-21,Second Class,562.14,Critical
45616,MO-2014-AB25586-41966,2014-11-23,2014-11-23,Same Day,556.45,Medium
25026,IN-2013-RP192707-41438,2013-06-13,2013-06-13,Same Day,555.77,High
27962,IN-2014-BK1126011-41940,2014-10-28,2014-10-31,First Class,553.31,Medium
26669,IN-2014-JM1525027-41985,2014-12-12,2014-12-14,First Class,550.74,High
29600,IN-2013-GP1474058-41419,2013-05-25,2013-05-28,Second Class,548.4,Critical
34336,CA-2015-AS10045140-42281,2015-10-04,2015-10-09,Standard Class,12.65,Medium
19195,ES-2014-NZ1856545-41975,2014-12-02,2014-12-02,Same Day,546.9,Critical
32639,CA-2015-AS10045140-42007,2015-01-03,2015-01-05,First Class,5.35,High
26731,ID-2014-SC20695102-41667,2014-01-28,2014-01-30,First Class,546.49,High
31278,IN-2013-NC186257-41401,2013-05-07,2013-05-07,Same Day,545.89,High
12035,ES-2014-NF183858-41970,2014-11-27,2014-11-29,First Class,541.59,High
29149,IN-2013-NZ185657-41606,2013-11-28,2013-12-02,Second Class,541.57,Medium
15896,IT-2013-PM1894045-41546,2013-09-29,2013-09-29,Same Day,540.77,Critical
18307,ES-2014-MZ1733545-41885,2014-09-03,2014-09-05,Second Class,539.94,High
46257,CG-2014-HM498033-41846,2014-07-26,2014-08-01,Standard Class,533.99,Low
21142,IN-2015-RW195407-42327,2015-11-19,2015-11-25,Standard Class,531.28,Low
10308,ES-2013-LH1715545-41444,2013-06-19,2013-06-19,Same Day,531.09,High
6776,MX-2013-FH1436582-41558,2013-10-11,2013-10-14,First Class,530.486,Medium
16948,ES-2012-KM1666048-41129,2012-08-08,2012-08-10,First Class,527.87,Critical
11611,ES-2012-PO1886545-41217,2012-11-04,2012-11-08,Second Class,527.85,High
35876,US-2012-AS10045140-41116,2012-07-26,2012-08-01,Standard Class,4.36,Medium
1873,MX-2014-AB1006028-41755,2014-04-26,2014-04-28,First Class,523.466,High
29120,IN-2014-DB130607-41999,2014-12-26,2014-12-26,Same Day,522.79,High
11743,IT-2014-VM2168591-41711,2014-03-13,2014-03-13,Same Day,520.89,High
32648,CA-2014-AS10045140-41727,2014-03-29,2014-04-01,First Class,3.81,Medium
17522,ES-2013-DM1352548-41369,2013-04-05,2013-04-05,Same Day,516.63,High
14721,ES-2013-NM18520120-41634,2013-12-26,2013-12-28,Second Class,515.24,Critical
29629,IN-2014-LC168857-41747,2014-04-18,2014-04-19,First Class,511.47,Critical
25868,IN-2012-RO1978027-41052,2012-05-23,2012-05-25,Second Class,510.72,High
33131,CA-2015-AS10045140-42218,2015-08-02,2015-08-08,Standard Class,1.99,Medium
19559,ES-2014-EM1406548-41775,2014-05-16,2014-05-20,Second Class,506.89,High
32638,CA-2015-AS10045140-42007,2015-01-03,2015-01-05,First Class,1.56,High
14070,IT-2012-ON1871545-40955,2012-02-16,2012-02-19,Second Class,506.27,Medium
21306,IN-2014-VS2182027-41790,2014-05-31,2014-06-02,First Class,504.56,Critical
21668,IN-2014-CM121157-41913,2014-10-01,2014-10-02,First Class,499.62,High
39465,CA-2015-AB10060140-42315,2015-11-07,2015-11-14,Standard Class,524.76,Low
31650,CA-2014-AB10060140-41884,2014-09-02,2014-09-04,First Class,82.67,Critical
24260,ID-2014-JK153257-41984,2014-12-11,2014-12-14,Second Class,498.62,Critical
13646,IT-2015-RP1927045-42081,2015-03-18,2015-03-21,Second Class,498.52,Critical
23708,IN-2015-DW1354078-42357,2015-12-19,2015-12-20,First Class,498.38,Critical
39466,CA-2015-AB10060140-42315,2015-11-07,2015-11-14,Standard Class,47.81,Low
33661,US-2014-AB10060140-41712,2014-03-14,2014-03-19,Standard Class,13.75,Medium
39467,CA-2015-AB10060140-42315,2015-11-07,2015-11-14,Standard Class,11.57,Low
1779,MX-2015-GM1444037-42265,2015-09-18,2015-09-18,Same Day,493.409,Critical
23880,IN-2014-SV2081558-41968,2014-11-25,2014-11-27,First Class,493.2,Critical
27094,IN-2014-MM1792027-41950,2014-11-07,2014-11-10,First Class,492.79,Critical
24424,IN-2015-JK1612059-42204,2015-07-19,2015-07-23,Standard Class,492.28,High
22049,ID-2013-EM14200130-41502,2013-08-16,2013-08-16,Same Day,491.91,High
40796,CA-2015-AB10060140-42314,2015-11-06,2015-11-08,First Class,7.97,High
23815,IN-2013-PM1894059-41284,2013-01-10,2013-01-14,Standard Class,487.86,High
8009,MX-2014-AT1043582-41667,2014-01-28,2014-01-30,First Class,487.476,Medium
30267,ID-2013-AB1001527-41439,2013-06-14,2013-06-17,First Class,487.32,Critical
40795,CA-2015-AB10060140-42314,2015-11-06,2015-11-08,First Class,6.61,High
31647,CA-2014-AB10060140-41884,2014-09-02,2014-09-04,First Class,6.53,Critical
2283,MX-2013-PV1898518-41614,2013-12-06,2013-12-08,First Class,483.257,High
17765,IT-2014-SB2029064-41887,2014-09-05,2014-09-07,Second Class,483.04,High
47783,SO-2015-SM10005116-42265,2015-09-18,2015-09-20,First Class,481.04,High
31649,CA-2014-AB10060140-41884,2014-09-02,2014-09-04,First Class,6.22,Critical
23175,IN-2013-KH1633059-41489,2013-08-03,2013-08-08,Standard Class,479.96,High
27693,IN-2015-MP181757-42347,2015-12-09,2015-12-11,First Class,479.94,High
22134,IN-2013-LH1702027-41572,2013-10-25,2013-10-28,First Class,479.67,Critical
36297,CA-2015-AB10060140-42132,2015-05-08,2015-05-13,Standard Class,5.44,Medium
22488,ID-2014-CR126257-41878,2014-08-27,2014-08-29,Second Class,475.34,High
25678,IN-2012-NC1862511-41041,2012-05-12,2012-05-16,Standard Class,474.44,High
15376,IT-2012-GM1468091-41215,2012-11-02,2012-11-05,First Class,473.27,High
15162,ES-2015-RA1994545-42218,2015-08-02,2015-08-03,First Class,472,Critical
18899,ES-2012-DB1306048-41171,2012-09-19,2012-09-21,Second Class,471.92,Critical
33660,US-2014-AB10060140-41712,2014-03-14,2014-03-19,Standard Class,3.15,Medium
24160,IN-2014-RF197357-41709,2014-03-11,2014-03-15,Standard Class,470.29,High
15812,ES-2013-JH1582048-41306,2013-02-01,2013-02-04,First Class,469.29,High
33662,US-2014-AB10060140-41712,2014-03-14,2014-03-19,Standard Class,2.72,Medium
6449,MX-2015-DM1295551-42103,2015-04-09,2015-04-13,Standard Class,466.703,High
32472,CA-2014-AB10060140-41881,2014-08-30,2014-09-04,Standard Class,2.16,Medium
4394,MX-2015-BE1133582-42082,2015-03-19,2015-03-21,First Class,465.918,High
22058,IN-2014-SO2033527-41914,2014-10-02,2014-10-04,First Class,465.63,High
19833,ES-2014-DK12835120-41651,2014-01-12,2014-01-15,First Class,465.02,Medium
45807,SA-2015-LC7050110-42236,2015-08-20,2015-08-25,Standard Class,463.98,Medium
30187,IN-2012-PB19210127-41259,2012-12-16,2012-12-19,First Class,458.97,Critical
29484,IN-2015-CG125207-42077,2015-03-14,2015-03-18,Standard Class,458.54,High
36347,CA-2013-AB10060140-41535,2013-09-18,2013-09-24,Standard Class,1.69,Medium
24015,ID-2015-HG1502559-42194,2015-07-09,2015-07-13,Standard Class,456.32,High
