row_id,returned,order_id,region
40098,Yes,CA-2012-SA20830140-41210,Central US
26341,Yes,IN-2012-PB19210127-41259,Eastern Asia
25330,Yes,CA-2012-SC20095140-41174,Central US
13524,Yes,IN-2015-JH158207-42140,Oceania
47221,Yes,IN-2014-LC168857-41747,Oceania
22732,Yes,ID-2013-AB1001527-41439,Eastern Asia
30570,Yes,ES-2015-RA1994545-42218,Western Europe
31192,Yes,CA-2014-TB21280140-41724,Central US
40099,Yes,ES-2014-JF15295120-41924,Southern Europe
36258,Yes,IN-2014-NM1844527-41800,Eastern Asia
36259,Yes,IN-2015-GB145307-42260,Oceania
28879,Yes,ES-2012-SC208458-41070,Western Europe
45794,Yes,TU-2013-SF10200134-41417,Western Asia
4132,Yes,ID-2015-RD1993092-42140,Oceania
27704,Yes,CA-2014-TC21295140-41800,Southern US
13779,Yes,SF-2015-MV8190117-42362,Southern Africa
39519,Yes,IN-2014-EM1382566-41850,Eastern Asia
12069,Yes,ES-2015-CC1210045-42182,Western Europe
22096,Yes,ES-2015-MM1792045-42199,Western Europe
49463,Yes,IN-2015-DB1306027-42353,Eastern Asia
46630,Yes,IN-2013-JC157757-41310,Oceania
36260,Yes,CA-2015-RB19705140-42262,Eastern US
21586,Yes,ES-2015-BB1154548-42336,Western Europe
13528,Yes,AL-2012-SC102302-40970,Southern Europe
1570,Yes,UP-2014-MC7275137-41997,Eastern Europe
3484,Yes,IN-2013-EJ13720113-41608,Southeastern Asia
30191,Yes,CA-2012-AJ10780140-41212,Eastern US
11645,Yes,CA-2014-EM14140140-41822,Western US
38460,Yes,ES-2015-RD19585120-42007,Southern Europe
22999,Yes,US-2014-SC20230140-41873,Western US
220,Yes,IN-2013-JR1570058-41441,Southern Asia
10648,Yes,IN-2013-DL129257-41418,Oceania
40977,Yes,ES-2014-EG1390045-41644,Western Europe
21286,Yes,ES-2013-DB1297045-41458,Western Europe
40976,Yes,CA-2014-CL12565140-41768,Eastern US
47905,Yes,ES-2014-EB13930139-41962,Northern Europe
36651,Yes,IN-2015-ML1739559-42369,Southeastern Asia
40100,Yes,SA-2015-MC7575110-42326,Western Asia
15380,Yes,CA-2014-SS1041023-41995,Eastern Canada
28046,Yes,ID-2015-ST205307-42336,Oceania
21316,Yes,MX-2012-AH1003082-41251,Central America
29272,Yes,ID-2015-MM1726078-42181,Southeastern Asia
25795,Yes,IT-2015-DM1301564-42167,Southern Europe
16681,Yes,IN-2015-JW1595527-42190,Eastern Asia
15953,Yes,CA-2013-SG20080140-41578,Western US
34608,Yes,IN-2014-PF1912027-41916,Eastern Asia
13847,Yes,US-2015-AG1052582-42355,Central America
24341,Yes,IN-2015-PB191057-42281,Oceania
28701,Yes,MX-2015-BS1136518-42199,South America
6550,Yes,IT-2012-MP1817545-41040,Western Europe
37425,Yes,IN-2014-BT1168027-41815,Eastern Asia
48360,Yes,IN-2013-MH180257-41443,Oceania
40101,Yes,ID-2015-LW172157-42293,Oceania
30190,Yes,MX-2014-KA1652539-41922,Central America
42336,Yes,ID-2015-CS123557-42328,Oceania
29047,Yes,IN-2015-KM163757-42342,Oceania
38461,Yes,MX-2013-PK1891082-41532,Central America
29601,Yes,ES-2015-BT1139564-42088,Southern Europe
23499,Yes,MX-2013-CC1243082-41634,Central America
36652,Yes,IT-2015-AR1082545-42290,Western Europe
26634,Yes,ID-2014-CS11860102-41858,Southeastern Asia
34496,Yes,IN-2014-AB1060058-41858,Southern Asia
10522,Yes,IN-2012-CG1204027-41252,Eastern Asia
10549,Yes,AG-2013-PO88653-41634,North Africa
25314,Yes,EG-2015-CM211538-42144,North Africa
32637,Yes,ES-2015-BN1151545-42304,Western Europe
16653,Yes,IN-2014-CL1189066-41999,Eastern Asia
28932,Yes,ID-2015-AA1064559-42332,Southeastern Asia
8029,Yes,ES-2014-JK1609064-41800,Southern Europe
50411,Yes,IN-2015-CD1192059-42326,Southeastern Asia
21191,Yes,IN-2012-ES1408027-40941,Eastern Asia
4960,Yes,MX-2013-DO1364512-41461,Caribbean
49085,Yes,CG-2013-SC1030533-41538,Central Africa
21209,Yes,SI-2015-SM10005115-42252,Southern Europe
12161,Yes,IN-2012-GT1471058-41158,Southern Asia
25438,Yes,ID-2013-SC2080059-41380,Southeastern Asia
33130,Yes,MX-2013-HF1499518-41423,South America
16988,Yes,ES-2012-AG1049545-41002,Western Europe
24443,Yes,IN-2015-SD2048527-42259,Eastern Asia
30199,Yes,CA-2012-PC18745140-41273,Eastern US
13879,Yes,US-2015-DH13075140-42092,Western US
50788,Yes,ES-2015-LR1691545-42237,Western Europe
40834,Yes,SF-2015-CD1920117-42055,Southern Africa
40425,Yes,ES-2012-TT2146045-41014,Western Europe
18241,Yes,IN-2015-PS1904558-42272,Southern Asia
23013,Yes,CA-2015-KL16555140-42313,Southern US
45616,Yes,US-2013-PO1918082-41504,Central America
25026,Yes,ID-2015-JG15310130-42133,Southeastern Asia
27962,Yes,ES-2014-MG17680120-41867,Southern Europe
26669,Yes,ES-2015-RA1994548-42249,Western Europe
29600,Yes,IT-2015-KD1634545-42238,Western Europe
34336,Yes,CA-2012-DP13165140-41244,Eastern US
19195,Yes,CA-2014-EH13765140-41997,Western US
32639,Yes,ID-2015-TB214007-42322,Oceania
26731,Yes,MX-2013-ES1408018-41619,South America
31278,Yes,IN-2012-TB2152059-41207,Southeastern Asia
12035,Yes,ES-2012-MR1754564-41157,Southern Europe
29149,Yes,IN-2015-GW1460558-42173,Southern Asia
15896,Yes,CA-2013-JK15205140-41544,Southern US
18307,Yes,IN-2015-GM1445558-42273,Southern Asia
46257,Yes,CA-2015-MG18145140-42285,Western US
21142,Yes,CA-2013-EM13960140-41548,Western US
10308,Yes,ES-2014-RM1937545-41643,Western Europe
6776,Yes,IN-2012-GG1465027-40992,Eastern Asia
16948,Yes,IN-2014-TB2140066-41873,Eastern Asia
11611,Yes,MX-2015-MP1796518-42189,South America
35876,Yes,US-2012-LT17110140-41060,Southern US
1873,Yes,ES-2013-BF1117048-41527,Western Europe
29120,Yes,ID-2013-CC126857-41572,Oceania
11743,Yes,ES-2013-AJ1094548-41444,Western Europe
32648,Yes,US-2015-GZ14545140-42212,Western US
17522,Yes,ES-2015-BM1165045-42176,Western Europe
14721,Yes,ID-2014-RD197207-41776,Oceania
29629,Yes,MX-2015-DB1336018-42280,South America
25868,Yes,US-2012-CV12295140-40995,Central US
33131,Yes,IT-2013-BF1102045-41418,Western Europe
19559,Yes,IN-2015-LT1676511-42286,Southern Asia
32638,Yes,IN-2015-VB217451-42349,Southern Asia
14070,Yes,IT-2014-JG15115104-41952,Southern Europe
21306,Yes,MX-2012-JP1552018-41174,South America
21668,Yes,MX-2012-RD1993051-41223,Central America
39465,Yes,IN-2015-AT1043559-42243,Southeastern Asia
31650,Yes,IN-2012-SC2069559-41248,Southeastern Asia
24260,Yes,ES-2012-ER13855120-41159,Southern Europe
13646,Yes,ES-2012-TB2162545-41262,Western Europe
